Data,"Tipo Residuo","Peso"
2014-09-25,"Monstros","9600,00"
2014-09-25,"Plastico","2580,00"
2014-09-24,"Vidro","19600,00"
2014-09-24,"Indiferenciado","259600,00"
2014-09-24,"Residuos Limpeza","40480,00"
2014-09-24,"Monstros","9580,00"
2014-09-24,"Plastico","2340,00"
2014-09-24,"Papel","11800,00"
2014-09-24,"Cortes de Jardim","80620,00"
2014-09-23,"Indiferenciado","229100,00"
2014-09-23,"Cortes de Jardim","103500,00"
2014-09-23,"Vidro","7760,00"
2014-09-23,"Plastico","24340,00"
2014-09-23,"Residuos Limpeza","16260,00"
2014-09-23,"Papel","2420,00"
2014-09-23,"Monstros","11120,00"
2014-09-22,"Cortes de Jardim","88320,00"
2014-09-22,"Papel","38260,00"
2014-09-22,"Monstros","8560,00"
2014-09-22,"Indiferenciado","254780,00"
2014-09-22,"Vidro","11820,00"
2014-09-22,"Residuos Limpeza","42580,00"
2014-09-22,"Plastico","1160,00"
2014-09-21,"Indiferenciado","244960,00"
2014-09-21,"Papel","3120,00"
2014-09-20,"Residuos Limpeza","55640,00"
2014-09-20,"Monstros","5780,00"
2014-09-20,"Vidro","16440,00"
2014-09-20,"Indiferenciado","281920,00"
2014-09-20,"Cortes de Jardim","88340,00"
2014-09-20,"Plastico","1660,00"
2014-09-20,"Papel","5700,00"
2014-09-19,"Indiferenciado","241160,00"
2014-09-19,"Vidro","4540,00"
2014-09-19,"Plastico","10160,00"
2014-09-19,"Residuos Limpeza","59140,00"
2014-09-19,"Cortes de Jardim","87040,00"
2014-09-19,"Papel","6180,00"
2014-09-19,"Monstros","10080,00"
2014-09-18,"Vidro","8180,00"
2014-09-18,"Indiferenciado","248380,00"
2014-09-18,"Cortes de Jardim","76520,00"
2014-09-18,"Papel","25280,00"
2014-09-18,"Plastico","1940,00"
2014-09-18,"Residuos Limpeza","34780,00"
2014-09-18,"Monstros","7380,00"
2014-09-17,"Vidro","20840,00"
2014-09-17,"Monstros","11560,00"
2014-09-17,"Indiferenciado","246800,00"
2014-09-17,"Residuos Limpeza","29680,00"
2014-09-17,"Cortes de Jardim","82980,00"
2014-09-17,"Papel","4000,00"
2014-09-17,"Plastico","2460,00"
2014-09-16,"Indiferenciado","257940,00"
2014-09-16,"Cortes de Jardim","76360,00"
2014-09-16,"Plastico","24920,00"
2014-09-16,"Papel","3180,00"
2014-09-16,"Vidro","9060,00"
2014-09-16,"Monstros","8560,00"
2014-09-16,"Residuos Limpeza","32980,00"
2014-09-15,"Papel","41900,00"
2014-09-15,"Cortes de Jardim","90180,00"
2014-09-15,"Indiferenciado","239960,00"
2014-09-15,"Monstros","15700,00"
2014-09-15,"Vidro","9100,00"
2014-09-15,"Residuos Limpeza","24980,00"
2014-09-15,"Plastico","1580,00"
2014-09-14,"Papel","3180,00"
2014-09-14,"Indiferenciado","253600,00"
2014-09-13,"Papel","5520,00"
2014-09-13,"Plastico","1380,00"
2014-09-13,"Indiferenciado","262000,00"
2014-09-13,"Monstros","6100,00"
2014-09-13,"Cortes de Jardim","73540,00"
2014-09-13,"Vidro","17620,00"
2014-09-13,"Residuos Limpeza","12060,00"
2014-09-12,"Papel","3560,00"
2014-09-12,"Cortes de Jardim","76100,00"
2014-09-12,"Monstros","9820,00"
2014-09-12,"Residuos Limpeza","12780,00"
2014-09-12,"Plastico","11760,00"
2014-09-12,"Indiferenciado","254780,00"
2014-09-12,"Vidro","14100,00"
2014-09-11,"Cortes de Jardim","61520,00"
2014-09-11,"Plastico","2800,00"
2014-09-11,"Residuos Limpeza","25640,00"
2014-09-11,"Monstros","9160,00"
2014-09-11,"Vidro","9240,00"
2014-09-11,"Papel","24800,00"
2014-09-11,"Indiferenciado","231100,00"
2014-09-10,"Residuos Limpeza","33300,00"
2014-09-10,"Monstros","11380,00"
2014-09-10,"Papel","4780,00"
